"Latitude","Longitude","gemeindename","kantonsnum","bfs_num"
7.86187,46.68459,"Matten bei Interlaken","2","587"
7.86187,46.68459,"Matten bei Interlaken","2","587"
7.86187,46.68459,"Matten bei Interlaken","2","587"
8.2476,46.89538,"Sarnen","6","1407"
8.23782,46.87077,"Sachseln","6","1406"
8.18736,46.83674,"Giswil","6","1403"
8.16329,46.78573,"Lungern","6","1405"
8.27574,46.94119,"Alpnach","6","1401"
8.40193,46.81965,"Engelberg","6","1402"
8.27367,46.90111,"Kerns","6","1404"
8.81854,47.19381,"Altendorf","5","1341"
9.27409,47.547,"Amriswil","20","4461"
7.83903,47.46274,"Böckten","13","2842"
8.63853,47.39553,"Dübendorf","1","191"
8.90792,47.56601,"Frauenfeld","20","4566"
8.84679,47.22942,"Rapperswil-Jona","17","3340"
8.57956,47.45501,"Kloten","1","62"
8.33616,47.27968,"Muri (AG)","19","4236"
8.50681,47.47563,"Oberglatt","1","92"
8.77067,47.36639,"Pfäffikon","1","177"
8.43218,47.39945,"Schlieren","1","247"
9.33982,47.41348,"St. Gallen","17","3203"
8.67753,47.37933,"Volketswil","1","199"
8.63594,47.23686,"Wädenswil","1","293"
9.09654,47.56521,"Weinfelden","20","4946"
8.76403,47.49917,"Winterthur","1","230"
8.70398,47.48648,"Winterthur","1","230"
8.9653,46.1541,"Sant'Antonino","21","5017"
7.39934,47.19344,"Grenchen","11","2546"
9.01818,46.18191,"Bellinzona","21","5002"
7.22894,47.23488,"Reconvilier","2","703"
6.41396,46.47457,"Etoy","22","5636"
8.66159,47.71744,"Schaffhausen","14","2939"
7.46624,46.91671,"Kehrsatz","2","870"
8.7452,47.13868,"Einsiedeln","5","1301"
8.26147,47.34845,"Wohlen (AG)","19","4082"
8.01341,47.51643,"Frick","19","4163"
7.28595,47.05266,"Aarberg","2","301"
9.43581,46.71023,"Thusis","18","3668"
8.61221,47.04972,"Steinen","5","1373"
8.63478,47.07929,"Sattel","5","1371"
8.6355,47.07919,"Sattel","5","1371"
8.65217,47.02106,"Schwyz","5","1372"
8.65541,47.02026,"Schwyz","5","1372"
8.72244,46.98739,"Muotathal","5","1367"
8.79975,47.05811,"Unteriberg","5","1375"
8.75783,46.9747,"Muotathal","5","1367"
8.84645,46.91384,"Muotathal","5","1367"
9.84591,46.81352,"Davos","18","3851"
9.84586,46.8135,"Davos","18","3851"
9.83121,46.80008,"Davos","18","3851"
9.83124,46.80013,"Davos","18","3851"
9.83104,46.79978,"Davos","18","3851"
9.83108,46.79975,"Davos","18","3851"
9.82095,46.79336,"Davos","18","3851"
9.82131,46.79327,"Davos","18","3851"
7.475976,46.990174,"Ittigen","2","362"
7.475976,46.990174,"Ittigen","2","362"
7.475976,46.990174,"Ittigen","2","362"
7.475976,46.990174,"Ittigen","2","362"
8.633197,46.847886,"Schattdorf","4","1213"
8.633197,46.847886,"Schattdorf","4","1213"
8.633197,46.847886,"Schattdorf","4","1213"
8.633197,46.847886,"Schattdorf","4","1213"
6.859379,46.832458,"Lully (FR)","10","2025"
6.859379,46.832458,"Lully (FR)","10","2025"
6.859379,46.832458,"Lully (FR)","10","2025"
6.859379,46.832458,"Lully (FR)","10","2025"
9.512371,47.011751,"Maienfeld","18","3953"
9.512371,47.011751,"Maienfeld","18","3953"
9.512371,47.011751,"Maienfeld","18","3953"
9.512371,47.011751,"Maienfeld","18","3953"
8.700137,47.449367,"Lindau","1","176"
8.700137,47.449367,"Lindau","1","176"
8.700137,47.449367,"Lindau","1","176"
8.700137,47.449367,"Lindau","1","176"
8.700137,47.449367,"Lindau","1","176"
8.700137,47.449367,"Lindau","1","176"
9.001796,46.182242,"Bellinzona","21","5002"
9.001796,46.182242,"Bellinzona","21","5002"
9.001796,46.182242,"Bellinzona","21","5002"
9.001796,46.182242,"Bellinzona","21","5002"
8.632302,46.846522,"Erstfeld","4","1206"
8.632302,46.846522,"Erstfeld","4","1206"
8.632302,46.846522,"Erstfeld","4","1206"
8.632302,46.846522,"Erstfeld","4","1206"
9.026603,46.209502,"Bellinzona","21","5002"
9.026603,46.209502,"Bellinzona","21","5002"
9.026603,46.209502,"Bellinzona","21","5002"
9.026603,46.209502,"Bellinzona","21","5002"
8.232328,47.113372,"Neuenkirch","3","1093"
8.232328,47.113372,"Neuenkirch","3","1093"
8.232328,47.113372,"Neuenkirch","3","1093"
8.232328,47.113372,"Neuenkirch","3","1093"
8.232328,47.113372,"Neuenkirch","3","1093"
8.232328,47.113372,"Neuenkirch","3","1093"
7.059829,46.127822,"Martigny","23","6136"
7.059829,46.127822,"Martigny","23","6136"
7.059829,46.127822,"Martigny","23","6136"
7.059829,46.127822,"Martigny","23","6136"
8.08908,47.38635,"Buchs (AG)","19","4003"
8.08908,47.38635,"Buchs (AG)","19","4003"
8.08908,47.38635,"Buchs (AG)","19","4003"
8.08908,47.38635,"Buchs (AG)","19","4003"
8.394953,46.907742,"Wolfenschiessen","7","1511"
8.394953,46.907742,"Wolfenschiessen","7","1511"
8.391936,46.933018,"Dallenwil","7","1503"
8.391936,46.933018,"Dallenwil","7","1503"
8.389553,46.960663,"Oberdorf (NW)","7","1508"
8.389553,46.960663,"Oberdorf (NW)","7","1508"
8.366261,46.958668,"Stans","7","1509"
8.366261,46.958668,"Stans","7","1509"
8.336982,46.976307,"Stansstad","7","1510"
8.336982,46.976307,"Stansstad","7","1510"
8.309956,46.981892,"Hergiswil (NW)","7","1507"
8.309956,46.981892,"Hergiswil (NW)","7","1507"
8.396816,47.418125,"Dietikon","1","243"
8.396816,47.418125,"Dietikon","1","243"
8.396816,47.418125,"Dietikon","1","243"
8.396816,47.418125,"Dietikon","1","243"
8.396816,47.418125,"Dietikon","1","243"
8.396816,47.418125,"Dietikon","1","243"
8.396816,47.418125,"Dietikon","1","243"
8.396816,47.418125,"Dietikon","1","243"
8.396816,47.418125,"Dietikon","1","243"
8.396816,47.418125,"Dietikon","1","243"
8.396816,47.418125,"Dietikon","1","243"
8.396816,47.418125,"Dietikon","1","243"
8.396816,47.418125,"Dietikon","1","243"
8.396816,47.418125,"Dietikon","1","243"
8.396816,47.418125,"Dietikon","1","243"
8.396816,47.418125,"Dietikon","1","243"
8.396816,47.418125,"Dietikon","1","243"
8.396816,47.418125,"Dietikon","1","243"
8.396816,47.418125,"Dietikon","1","243"
8.396816,47.418125,"Dietikon","1","243"
8.396816,47.418125,"Dietikon","1","243"
8.396816,47.418125,"Dietikon","1","243"
8.396816,47.418125,"Dietikon","1","243"
8.396816,47.418125,"Dietikon","1","243"
6.561557,46.556698,"Bussigny","22","5624"
6.561557,46.556698,"Bussigny","22","5624"
6.561557,46.556698,"Bussigny","22","5624"
6.561557,46.556698,"Bussigny","22","5624"
6.561557,46.556698,"Bussigny","22","5624"
6.561557,46.556698,"Bussigny","22","5624"
6.561557,46.556698,"Bussigny","22","5624"
6.561557,46.556698,"Bussigny","22","5624"
6.561557,46.556698,"Bussigny","22","5624"
6.561557,46.556698,"Bussigny","22","5624"
6.561557,46.556698,"Bussigny","22","5624"
6.561557,46.556698,"Bussigny","22","5624"
6.561557,46.556698,"Bussigny","22","5624"
6.561557,46.556698,"Bussigny","22","5624"
7.598728,47.175529,"Kriegstetten","11","2525"
7.598728,47.175529,"Kriegstetten","11","2525"
